site_no,2 yr (cms)
1013500,238.4328694
1022500,115.9577864
1030500,473.6538253
1031500,243.3978269
1047000,362.8366122
1052500,140.3731193
1054200,256.0229619
1055000,179.5409582
1057000,63.04161753
1073000,8.421483048
1078000,48.19234689
1117468,3.700353593
1118300,3.847483082
1121000,30.35905344
1123000,26.15353094
1134500,58.636936
1137500,121.6848629
1139000,50.13882405
1139800,7.652560465
1142500,21.57822422
1144000,490.0272519
1150900,24.33009963
1162500,9.755997432
1169000,140.0421872
1170100,67.35866057
1181000,143.8925868
1187300,29.61681033
1195100,5.567694554
1208990,17.05709586
1333000,40.98497725
1350000,418.9864541
1350080,39.43940985
1350140,26.05484391
1362200,99.19044191
1365000,74.3621985
1411300,6.304920505
1413500,165.2873085
1414500,41.45932115
1415000,36.85619851
1423000,259.7163637
1434025,8.907736095
1435000,171.3706303
1439500,55.97774154
1440000,46.16777032
1440400,83.5922164
1451800,65.56242256
1466500,0.270735231
1484100,1.593093095
1485500,17.14747779
1486000,4.189704415
1487000,19.03506763
1491000,61.56317935
1510000,123.2624502
1516500,22.74223999
1518862,135.3636767
1532000,273.6265107
1539000,242.7437609
1542810,5.657366137
1543000,232.953857
1543500,486.7133589
1544500,97.07891209
1545600,23.96684872
1547700,36.34746891
1548500,337.1554533
1549500,51.63364159
1550000,193.170811
1552000,432.127766
1552500,46.262912
1557500,40.87371445
1564500,171.9637051
1567500,22.06550862
1568000,197.4287873
1580000,111.6009167
1583500,67.64203677
1586610,40.7009296
1591400,41.88293075
1594950,3.770650995
1596500,43.57462425
1605500,130.4608109
1606500,384.2946336
1613050,10.57247972
1620500,19.82078029
1632000,250.6370348
1632900,55.31015742
1634500,100.8185291
1638480,110.7383166
1639500,97.98019956
1644000,212.8381539
1658500,16.23985818
1664000,351.7079886
1666500,170.4977953
1667500,291.6835837
1669000,9.157232802
1669520,28.4039869
2011400,100.3530884
2011460,79.22067423
2013000,149.2505933
2014000,113.6923506
2015700,123.5989076
2016000,313.1871776
2017500,85.32230797
2018000,218.1498527
2027000,114.8848149
2027500,50.0566922
2028500,107.6900171
2038850,13.41559783
2046000,54.49913614
2051000,79.50944203
2051500,215.0878095
2053200,57.79763757
2053800,79.39006741
2055100,22.28320729
2056900,114.8428843
2059500,173.1270347
2064000,118.218547
2065500,53.02451651
2069700,64.60204638
2070000,78.26813289
2074500,113.5726206
2077200,56.84988808
2081500,149.2596491
2082950,63.94244375
2084557,5.274840155
2092500,54.80193683
2096846,18.08470809
2102908,3.36578388
2108000,143.3769684
2110500,160.2075148
2111180,87.05433637
2111500,95.23952736
2112120,160.8795975
2112360,93.32221286
2118500,157.6844951
2125000,138.3868455
2128000,124.7752952
2137727,141.7811268
2140991,218.8743615
2143000,130.42746
2143040,57.11244253
2149000,91.14550088
2152100,82.63785502
2177000,205.3312551
2178400,77.7014372
2193340,57.20363573
2196000,326.600714
2198100,15.30612603
2202600,49.55001444
2212600,66.96425485
2215100,57.21028186
2216180,23.37008119
2221525,76.72416724
2231000,152.1679098
2231342,18.81430336
2235200,8.335588613
2236500,2.434342526
2245500,77.08667988
2246000,106.5135697
2296500,58.47627903
2297155,21.3662941
2297310,53.01459951
2298123,49.39747273
2298608,55.24311504
2299950,52.99231921
2300700,30.13367667
2310947,26.02911534
2312200,9.587425597
2314500,112.3856388
2315500,204.628555
2324000,58.63496931
2324400,9.359314316
2327100,72.6023772
2342933,155.9337982
2349900,26.60796846
2350900,99.06313727
2361000,245.2654991
2363000,193.9971915
2369800,66.66930101
2371500,190.9616191
2372250,178.0882377
2374500,96.75209125
2381600,19.61960361
2384540,15.99481642
2395120,39.12188668
2408540,278.2237549
2415000,223.3452351
2422500,159.4034586
2427250,202.7430508
2430085,26.56717103
2430615,17.7834976
2450250,201.3079458
2464000,236.2834125
2464146,19.48727071
2464360,63.72430668
2465493,15.92654596
2469800,130.2241563
2472000,426.5898692
2472500,177.1107099
2479155,90.6009875
2479300,255.6267647
2479560,272.8505848
2481000,144.9648113
2481510,333.5973604
3010655,61.34176217
3011800,35.19807076
3015500,216.8940603
3021350,111.4751892
3026500,10.875773
3028000,63.46209347
3049000,106.3590768
3049800,8.056677475
3050000,198.9031315
3066000,69.97568393
3069500,735.074649
3070500,198.9034773
3076600,46.36554043
3078000,57.97283961
3140000,37.7717831
3144000,118.8914982
3159540,100.86324
3161000,131.1782505
3164000,583.5311422
3165000,53.34183972
3170000,189.6441849
3173000,194.7434181
3180500,122.7873695
3182500,521.9570213
3186500,229.308515
3187500,140.5752148
3213700,497.7783245
3237280,34.67145608
3237500,585.7853545
3238500,286.5982256
3241500,43.88965563
3280700,129.5632232
3281100,220.5032568
3281500,618.1078106
3285000,382.3785031
3291780,107.3343239
3300400,480.4809371
3338780,180.3649748
3340800,151.195636
3346000,280.4238939
3357350,11.54036361
3364500,106.7564165
3366500,534.4867356
3368000,51.00757591
3384450,156.8579292
3439000,119.2436481
3450000,6.506878511
3455500,103.75265
3456500,117.3361886
3460000,50.62449763
3463300,141.7533033
3471500,54.73706454
3473000,185.2389227
3479000,159.5575972
3488000,171.4360501
3498500,343.8951994
3500000,89.30906547
3500240,50.25932709
3504000,68.72622235
3574500,476.1520507
3592718,46.50007081
3597590,113.0436318
3604000,435.2671031
4015330,66.35615659
4024430,147.614446
4027000,210.4655626
4040500,58.24064634
4043050,20.90027083
4045500,120.5928137
4056500,184.6818967
4057510,30.58346257
4057800,16.51369856
4059500,79.13843992
4063700,16.89540704
4074950,39.9264348
4105700,3.68333925
4115265,6.652839669
4122200,46.06857266
4122500,55.45875217
4124000,67.03175737
4127918,70.73332829
4127997,19.45019111
4161580,3.244198228
4185000,101.4261091
4196800,114.8853539
4197100,78.48092889
4197170,37.10726516
4213000,171.603062
4213075,9.474452325
4216418,84.7740272
4221000,196.0920789
4224775,71.46241221
4233000,35.92630561
4256000,59.41198377
4296000,60.06914981
5056000,28.42967255
5057000,39.76880546
5057200,11.77371782
5062500,45.64640276
5087500,28.55700212
5120500,4.058081578
5123400,12.4904402
5129115,67.67957429
5131500,256.8244224
5291000,40.0528515
5362000,230.5590123
5393500,47.1253846
5399500,217.2344244
5408000,65.19291614
5412500,429.9685744
5413500,139.2182573
5414000,92.36939902
5444000,82.77509248
5454000,40.33446749
5458000,89.5216128
5466500,121.347826
5487980,221.9954978
5488200,78.29577261
5489000,252.963848
5495000,201.6338063
5495500,276.3034256
5501000,329.4857883
5503800,93.62604793
5507600,180.0336453
5508805,312.5461816
5514500,762.6081154
5525500,201.8244421
5556500,131.5079621
5584500,246.2942826
5585000,273.4065839
5591550,41.98230136
5592050,106.2197512
5592575,114.9676045
5593575,127.8180599
5593900,70.14892004
5595730,158.3365973
6037500,38.69736657
6043500,146.00268
6154410,1.385752055
6188000,255.6158118
6191000,34.35058912
6191500,502.8971335
6221400,25.28251023
6224000,62.39564635
6278300,20.90764422
6280300,112.3602818
6289000,30.52801643
6291500,11.17772798
6309200,15.60032361
6311000,7.901487979
6332515,9.361209636
6339100,26.66328596
6339500,58.94734837
6344600,23.29171314
6350000,38.17918439
6352000,22.55910692
6353000,44.75601015
6354000,123.2952113
6360500,162.362643
6404000,6.677627234
6406000,7.484666727
6408700,0.262928971
6409000,1.561703211
6422500,4.007348668
6431500,6.15770607
6440200,30.2163894
6441500,164.6347791
6447000,252.0018052
6447500,5.058307694
6450500,48.02505022
6452000,312.4834039
6453600,44.53398982
6464500,20.82429971
6468170,19.27205555
6468250,22.16181369
6470800,6.481570005
6477500,13.91819147
6479215,7.113118889
6479438,23.45651974
6601000,85.00610313
6614800,1.060857769
6622700,18.15390892
6623800,30.63473844
6632400,34.78855153
6746095,3.567856137
6775500,20.38050146
6784000,65.80378101
6803510,39.11650575
6803530,74.12284873
6814000,173.9432319
6846500,9.511133825
6847900,10.8434356
6853800,39.17185299
6876700,36.99092729
6878000,98.36008605
6879650,15.31005504
6885500,221.2702373
6888500,336.0742092
6889200,130.8860251
6889500,194.0737665
6892000,184.7130592
6903400,105.5559023
6906800,686.2030156
6910800,199.454834
6911900,139.3945991
6917000,244.0547486
6918460,199.0015292
6919500,294.1156227
6921070,390.9664277
6921200,242.3383169
6934000,950.9452676
7014500,614.9528379
7056000,1089.919624
7057500,354.9562847
7060710,140.7171987
7066000,358.2523317
7067000,780.9302473
7068000,798.9571803
7071500,257.0846184
7083000,7.36370042
7105945,1.06670053
7142300,5.625221646
7144780,82.66736098
7145700,118.6323433
7148400,151.6639126
7149000,96.48966641
7151500,281.8142107
7167500,260.1220778
7180500,176.4019939
7184000,198.5718858
7195800,21.13578945
7196900,227.5248434
7197000,487.2044119
7208500,3.742349315
7226500,131.2020327
7261000,242.7837902
7263295,141.5999819
7290650,784.8189389
7291000,520.4490626
7292500,1518.700902
7295000,754.0359895
7299670,61.75897324
7301410,10.59857982
7301500,150.7871161
7315200,44.81967304
7315700,183.4086199
7335700,268.140546
7340300,436.9128292
7346045,91.33615407
7359610,540.5337637
7362100,180.7118086
7362587,193.642271
7373000,78.82985166
7375000,110.0823877
7376000,170.3091256
7377000,567.6975459
8013000,385.3211855
8014500,307.55916
8023080,127.3462779
8025500,122.7047627
8029500,85.43647487
8050800,45.62350877
8066200,204.23807
8066300,74.59730606
8070000,157.5996221
8070200,143.473069
8079600,228.5815585
8082700,13.20486039
8086212,151.3836545
8086290,97.08687105
8101000,424.6277237
8103900,77.00278402
8104900,185.4035712
8109700,40.44463877
8150800,134.0475524
8155200,81.58117592
8158700,83.01308142
8158810,35.64310403
8164000,337.7739425
8164300,255.1405993
8164600,120.785926
8165300,70.39588855
8171300,298.2414117
8175000,107.8580727
8176900,191.6253422
8178880,108.1678778
8189500,162.2181301
8190000,246.103598
8190500,37.28070502
8194200,127.8412038
8195000,181.5187487
8196000,85.80336413
8198500,98.39141684
8200000,135.7694515
8202700,202.0929128
8267500,4.440259393
8269000,4.68957272
8271000,3.184287246
8324000,36.86739727
8377900,7.066304899
8378500,17.71967015
8380500,14.05643105
9034900,3.78827044
9035800,2.564061613
9035900,8.765294047
9047700,1.19424015
9065500,9.637124643
9066000,5.878007859
9066200,4.186218462
9066300,1.850638777
9081600,62.38461305
9107000,19.57617212
9183500,5.172212627
9210500,11.83336732
9223000,22.97685219
9306242,0.535993915
9312600,5.206842402
9352900,32.49005871
9378170,1.019780801
9378630,0.297602253
9386900,7.718331452
9404450,3.47914865
9423350,0.695673288
9430500,62.31848171
9430600,27.558275
9447800,23.58684122
9480000,41.38512002
9484000,33.8957145
9484600,83.04040338
9492400,6.485178086
9494000,76.16219551
9497800,107.8896575
9497980,45.96945677
9505200,64.25634786
9505350,87.48859962
9505800,79.68173988
9508300,45.10389227
9510200,70.34931534
9512280,30.20512449
9513780,48.135143
9535100,31.85110728
10023000,1.470598496
10109001,NA
10166430,0.690147698
10172200,0.403626671
10172700,0.547357688
10172800,0.969383009
10173450,12.16449899
10205030,3.988855204
10234500,9.531453072
10242000,21.74669442
10244950,0.447717769
10249300,0.938188322
10258000,1.735281875
10258500,12.70724537
10259000,1.59283843
10259200,5.356163827
10263500,4.72976959
10308200,71.25772317
10310500,0.799062728
10316500,12.55509467
10329500,9.499538414
10336645,6.892704874
10336660,12.24492245
10336676,9.857959228
10336740,0.103223082
10343500,2.841036136
10348850,1.478991435
10396000,37.9839723
11015000,4.544199314
11098000,15.60832018
11124500,28.1393864
11141280,8.830021574
11143000,68.48849812
11148900,330.816862
11151300,29.01856543
11162500,64.02354926
11176400,44.42896935
11180500,6.296868616
11180960,10.62295025
11224500,9.218208602
11230500,20.91173097
11237500,14.24109721
11253310,6.772835503
11264500,76.53619015
11266500,129.0509789
11274500,51.70301272
11274630,8.211892717
11284400,20.52628939
11299600,31.16734335
11315000,32.04415965
11381500,149.7680937
11383500,160.6688777
11427700,19.23730425
11451100,100.3606931
11468500,180.1124154
11473900,1107.294056
11475560,16.28314154
11476600,75.96859641
11478500,618.2059694
11480390,167.9689823
11481200,132.3684145
11482500,565.4743011
11522500,551.7762972
11523200,152.5890591
11528700,704.5334875
11532500,2227.819209
12010000,171.0540273
12013500,265.4343058
12020000,288.1257971
12025000,180.5838895
12025700,80.59679557
12035000,743.0970873
12040500,1897.206696
12041200,929.3686635
12043000,572.4127352
12048000,88.15001354
12054000,140.2959678
12056500,199.2267348
12073500,4.058562044
12082500,184.2696311
12092000,125.7983705
12095000,83.32915047
12114500,48.01136567
12115000,77.95341282
12115500,46.92814814
12117000,23.56079057
12141300,483.0498218
12143600,175.0498268
12144000,149.447593
12145500,55.53108327
12147500,135.5688501
12147600,34.50920587
12167000,683.9148315
12175500,117.9478272
12178100,55.41137024
12186000,271.6219031
12189500,897.9320772
12358500,526.7084096
12374250,1.62110189
12375900,4.651412673
12377150,11.96688138
12381400,12.16975236
12383500,1.22761782
12388400,4.430815351
12390700,42.69962145
12411000,179.6814012
12413000,447.4645435
12414500,433.4451358
12447390,10.93626999
12451000,268.9526795
12488500,45.04931567
13010065,227.8558888
13011500,76.18400843
13011900,116.8462239
13018300,2.103685487
13023000,94.55554845
13083000,1.372591634
13161500,17.97489663
13185000,192.5745521
13235000,120.7342798
13240000,34.61271069
13310700,101.3769223
13313000,85.94337801
13331500,89.93553301
13337000,528.7359936
13338500,174.2277066
13340000,1508.985171
13340600,534.0735188
14020000,58.91242188
14092750,20.18870791
14096850,17.20900967
14137000,414.4516026
14138800,31.80831216
14138870,15.13514422
14138900,30.62403765
14139800,50.99507842
14141500,57.77907523
14154500,319.2217656
14158500,40.15716974
14158790,33.17005331
14166500,83.92369234
14182500,371.1465517
14185000,342.7282043
14185900,307.6786255
14187000,83.8553534
14216500,194.5103357
14222500,257.1265964
14236200,294.4768632
14301000,797.7545428
14303200,6.983797133
14305500,581.4860117
14306340,13.36498765
14306500,535.707582
14308990,62.32172374
14309500,176.5163499
14316700,404.4599205
14325000,427.3772564
14362250,2.678085202
14400000,1110.347102
15072000,79.13671215
15085100,25.64363693
15129500,59.94716216
15239050,14.32786935
15266300,528.9472005
15290000,52.34729985
15292700,669.1537013
15478040,28.34928774
15484000,466.3363379
15493000,216.9425059
15511000,42.38207787
15896000,1316.299386
15908000,508.5574331
16010000,92.3355944
16019000,55.14430374
16068000,89.13589291
16071500,5.336863601
16097500,34.4328388
16108000,141.1186288
16200000,52.90724136
16229000,37.63813385
16345000,59.86793712
16400000,70.05359093
16508000,69.4547298
16518000,108.2064328
16587000,16.19117479
16717000,250.636697
16720000,20.67946555
50025155,77.88761441
50034000,85.28227371
50050900,135.0550477
50063440,23.51577943
50063800,204.8010119
50065500,271.1659648
50092000,126.123258
50100450,37.69936192
50108000,79.15971493
50110900,79.5222197
50113800,74.14134299
